"Label (Grouping)","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","10,238,369","±2,300","1,461,572","±17,326","14.3%","±0.2"
"    AGE","","","","","",""
"        Under 18 years","2,466,599","±2,557","495,477","±9,808","20.1%","±0.4"
"            Under 5 years","640,470","±1,801","142,438","±3,933","22.2%","±0.6"
"            5 to 17 years","1,826,129","±2,039","353,039","±7,424","19.3%","±0.4"
"            Related children of householder under 18 years","2,456,873","±2,775","486,699","±9,748","19.8%","±0.4"
"        18 to 64 years","6,342,256","±1,609","821,046","±9,716","12.9%","±0.2"
"            18 to 34 years","2,327,485","±2,168","383,824","±5,520","16.5%","±0.2"
"            35 to 64 years","4,014,771","±2,885","437,222","±6,768","10.9%","±0.2"
"        60 years and over","2,029,454","±5,583","216,699","±4,769","10.7%","±0.2"
"        65 years and over","1,429,514","±1,341","145,049","±3,578","10.1%","±0.3"
"    SEX","","","","","",""
"        Male","4,936,995","±2,836","637,626","±9,766","12.9%","±0.2"
"        Female","5,301,374","±2,670","823,946","±10,013","15.5%","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","5,886,893","±10,411","631,159","±11,378","10.7%","±0.2"
"        Black or African American alone","3,203,076","±6,227","644,424","±11,817","20.1%","±0.4"
"        American Indian and Alaska Native alone","33,932","±2,068","8,358","±1,333","24.6%","±3.4"
"        Asian alone","425,463","±2,966","44,252","±3,079","10.4%","±0.7"
"        Native Hawaiian and Other Pacific Islander alone","6,991","±1,085","1,480","±580","21.2%","±7.6"
"        Some other race alone","299,783","±9,794","68,953","±4,511","23.0%","±1.3"
"        Two or more races","382,231","±9,576","62,946","±4,148","16.5%","±1.0"
"        Hispanic or Latino origin (of any race)","989,675","±1,155","207,705","±7,051","21.0%","±0.7"
"        White alone, not Hispanic or Latino","5,356,419","±4,469","524,902","±9,999","9.8%","±0.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","6,869,909","±2,253","779,112","±9,536","11.3%","±0.1"
"            Less than high school graduate","809,239","±8,828","208,654","±4,242","25.8%","±0.5"
"            High school graduate (includes equivalency)","1,872,198","±15,676","276,983","±6,134","14.8%","±0.3"
"            Some college, associate's degree","1,944,122","±12,806","197,175","±4,071","10.1%","±0.2"
"            Bachelor's degree or higher","2,244,350","±17,012","96,300","±3,169","4.3%","±0.1"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","5,172,267","±11,910","408,135","±5,904","7.9%","±0.1"
"            Employed","4,885,748","±12,020","321,752","±5,207","6.6%","±0.1"
"                Male","2,519,325","±7,752","135,087","±3,334","5.4%","±0.1"
"                Female","2,366,423","±8,175","186,665","±3,875","7.9%","±0.2"
"            Unemployed","286,519","±5,126","86,383","±3,011","30.1%","±0.9"
"                Male","140,457","±4,247","36,408","±1,819","25.9%","±1.2"
"                Female","146,062","±3,618","49,975","±2,036","34.2%","±1.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","8,054,615","±3,161","1,011,497","±11,823","12.6%","±0.1"
"            Worked full-time, year-round in the past 12 months","3,664,478","±12,848","114,982","±3,337","3.1%","±0.1"
"            Worked part-time or part-year in the past 12 months","1,697,716","±11,760","295,743","±4,991","17.4%","±0.3"
"            Did not work","2,692,421","±13,378","600,772","±9,885","22.3%","±0.3"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","658,547","±12,644","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,936,162","±21,962","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,410,831","±26,346","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","3,073,665","±27,017","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,365,256","±27,737","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","5,062,244","±31,006","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,449,551","±28,782","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,499,623","±24,565","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","1,814,538","±14,446","458,858","±6,903","25.3%","±0.3"
"    Male","876,619","±9,511","197,789","±4,488","22.6%","±0.5"
"    Female","937,919","±8,335","261,069","±4,968","27.8%","±0.4"
"    15 years","2,519","±573","2,488","±576","98.8%","±1.6"
"    16 to 17 years","6,589","±714","6,014","±666","91.3%","±3.2"
"    18 to 24 years","197,776","±3,823","98,199","±2,378","49.7%","±1.0"
"    25 to 34 years","383,475","±6,002","73,182","±2,700","19.1%","±0.6"
"    35 to 44 years","238,449","±6,017","48,077","±2,386","20.2%","±0.8"
"    45 to 54 years","269,261","±5,151","61,893","±2,639","23.0%","±0.8"
"    55 to 64 years","293,433","±5,149","81,351","±2,527","27.7%","±0.7"
"    65 to 74 years","234,420","±4,481","48,966","±1,927","20.9%","±0.8"
"    75 years and over","188,616","±3,269","38,688","±1,766","20.5%","±0.8"
"    Mean income deficit for unrelated individuals (dollars)","7,547","±74","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","843,900","±10,573","30,029","±1,520","3.6%","±0.2"
"    Worked less than full-time, year-round in the past 12 months","360,714","±6,291","142,711","±3,022","39.6%","±0.6"
"    Did not work","609,924","±7,734","286,118","±6,158","46.9%","±0.8"
